"","county","weave_ct2010","Educ_HS_GradRateF","Educ_HS_CCRPI_ScoreF","Educ_pcExceeding_3Grade_ReadingF","Educ_pc_Exceeding_8Grade_MathF","Health_pcLBW_BirthsF","Health_pc_Under18_no_Health_InsF","Income_pcUnder18_in_povF","Income_pcFam_below200pc_povF","Income_pcHH_HousingBurdenF","Birth_to_Moms_noHSF","Educ_pc_postsecF","Educ_pcAdults_no_HSF","Health_pcAdults_no_Health_InsF","Income_Unemployment_rateF"
"41","Clayton",13063040410,-1.7633734867775,-0.975664652297582,-0.73020764992169,-1.09175518575893,0.419122106082705,-0.524848494411521,-0.504113240789187,-1.34487651755167,-1.93461943243262,-1.48776939181543,-1.28316904601069,-0.907504226843261,-0.251362120989501,-0.926584743271156
"42","Clayton",13063040411,-1.14154618582898,-0.449909726852071,-0.351631455212477,-0.857871252425475,-0.330825363741716,0.848162445834815,0.395199480531974,-0.0570844469749103,0.375536923041913,0.0841532055872491,-0.616133986512438,0.429587194698055,0.179524303235261,0.303679565728496
"43","Clayton",13063040412,-0.928591630709629,-0.641093336104984,-0.140778891070638,-0.427312193334339,-0.473672500851129,-1.70683182558011,0.530850002742428,-0.881074009374603,-0.121468826741453,-0.127126713418488,-0.747662026413501,-1.08235464350636,-1.14186073105401,-1.81177491681969
"44","Clayton",13063040413,-1.14154618582898,-0.449909726852071,-0.447473529822404,-0.406050017576752,-0.259401795187009,0.203444265197405,-1.35820912137353,-1.17218409429425,-0.67369743761186,-1.08211194732442,-0.616133986512438,-0.331526383717771,-0.0431003492808662,-1.37668144168566
"45","Clayton",13063040414,-1.71226439354886,-1.21464416386372,-0.9793970439075,-0.655880582728399,0.847663517410945,-3.0917819913938,0.902632915467378,-0.367930808838267,-0.231914548915535,-2.4512058224816,-1.51804054583401,-0.989786775861188,-0.890510316922897,-2.26187161523419
"46","Clayton",13063040415,-0.937109812914403,-1.64480728468278,-1.12795225955289,-0.857871252425475,-0.473672500851129,-1.79040640455162,-0.76034200496449,-1.34487651755167,-1.44681749283043,-1.59763494969842,-1.86565036557253,-1.76118567290425,-2.37706848049833,-0.461484821576166
"47","Clayton",13063040416,-1.37153710535789,-1.11905235923727,-0.854802346914595,-0.75156037363754,0.0977160475865243,-0.0234010205824241,-0.142378514894642,-0.728117863060887,-1.22592604848227,-1.83426845898484,-1.36772278594708,-1.68918844251357,-1.3429410623589,-0.356462258612781
"48","Clayton",13063040417,-0.630455253542531,-0.899191208596417,-0.452265633552901,-1.11301736151652,-0.473672500851129,0.239261941899483,-2.01134126534979,-1.92709668739098,-1.92541562225145,-0.837027241277765,-0.954348946258027,-1.12349591801532,-1.27112665832144,-1.22664920888083
"49","Clayton",13063040509,-2.17224623260667,-1.78819499162246,-0.945852317794025,-1.10238627363772,-0.437960716573776,1.086946957182,0.30978989247354,0.530069792100319,1.08423030699227,-0.127126713418488,-0.710082586441768,0.378160601561851,0.100528458794054,-1.39168466496615
"50","Clayton",13063040510,-1.7633734867775,-1.74039908930923,-1.07523911851743,-0.926973323637632,-1.65216138200379,-0.512909268844161,0.219356210999903,-0.466612193556793,-0.848569831054156,-0.541235354669733,-1.02011296620856,-0.814936359198093,-0.732518628040485,-0.341459035332297
