"","county","weave_ct2010","gradrate","ccrpi","grade3","grade8","lbw","childnohealth","childpoverty","povertyrate","housingburden","momsnohs","collegerate","adultsnoedu","adultnohealth","unemployment","ChildZ","FamilyZ","CommunityZ","CWB_Index"
"11","Cherokee",13057090602,85.7,78.6,56.9,45.8,6.9,4.5,26,29.7,35.8,16.3,80.3,20.8,24.4,11.8,0.719147869834109,0.632325317000992,0.594026111659058,0.645940276878194
"12","Cherokee",13057090701,78.8,78,67.7,60,7.8,6.1,5,18.4,30.1,3.8,79.5,8.1,13.4,6.4,0.7679909797518,0.798186933948183,0.791836110231562,0.803929124324086
"13","Cherokee",13057090702,87.3,83.8,52.2,38.8,6.2,5.5,25.4,26.6,35.1,9.1,80.9,11.1,24.9,8.3,0.727363860634564,0.696377549551836,0.701849449787088,0.714519094870386
"14","Cherokee",13057090802,88.3,81.4,75.5,46.6,6.9,16.4,9.9,14.6,30,5.1,81.4,6,9.9,6,0.753011852192465,0.804921464651545,0.84115272188956,0.819268004026377
"15","Cherokee",13057090803,87.5,83.5,68.7,40.4,4.8,2.5,9.4,13,29.8,1.4,80.9,5.6,10.5,6.5,0.832830765021794,0.836723635248719,0.832493476960664,0.85696076350645
"16","Cherokee",13057090804,89.6,81.2,61.1,44.3,5.7,2.8,7.6,8.2,19,3.7,80.9,7,10.5,7,0.813430682937755,0.917109475775278,0.817191716961795,0.87928489230988
"17","Cherokee",13057090901,90,80.8,58,45.2,8.4,9.3,14,13.9,25,5.3,80.9,7.7,13.2,8,0.722969547407165,0.841980442643784,0.788131769570437,0.806010431728257
"18","Cherokee",13057090902,90.6,80.1,58.9,47.3,5.3,5.6,3.1,16.2,33.4,1.8,85.7664,6.4,13,7.4,0.816299129796482,0.796158631884132,0.836709564865579,0.835485693620641
"19","Cherokee",13057090904,87.6,80.6,61.5,48.4,8.9,2.5,28.5,28.4,38.2,5.7,81.4,9.4,16.4,10.6,0.723766202873057,0.68964629264218,0.735887096082019,0.722534355330653
"20","Cherokee",13057090905,89.7,80.2,62.5,47.7,11.4,6.3643,12.2,16.6,37.9,6.1,81.4,8,13.1,7.1,0.707738985273431,0.734321421632701,0.799193834416896,0.758722843084286
"21","Cherokee",13057091001,81,81.6,61.8,50.3,7.9,31.9,16.1,38.7,37.6,8.2,81.4,11.1,31.3,7.7,0.603470973929388,0.63812754906975,0.67930884180141,0.639401814999249
"22","Cherokee",13057091003,81.4,81.2,50.6,50.6,8.9,16.5,16.2,31,40.2,14.5,82.3,12.2,34.4,14.6,0.643199665805732,0.607740480983887,0.589428840221956,0.607932014261776
"23","Cherokee",13057091005,81.4,81.3,53,50.5,7.2,12.4,21.7,24.2,31.6,5.9,82.1,13.2,27.6,6.4,0.682426167770954,0.751520016174741,0.701004678333849,0.722500446167225
"24","Cherokee",13057091006,82.8,79.9,79.9,51.7,5.6,13.9,4.4,12.6,26.1,6.605,86.5,3.3,11.1,7,0.790968250407707,0.830549483396739,0.87752806581784,0.856101795369644
"25","Cherokee",13057091007,82.8,79.9,82.4,51.7,5.9,2.8906,3.3,13.1,28.9,2.2878,86.5,2,7.5,6.8,0.848683361003708,0.836946263511275,0.907029513281379,0.888991055910691
"26","Cherokee",13057091008,81.8,80.9,64.1,50.8,8.2,9.3,0.7,2.7,26.9,3.6,83.1,0.2,12,5.3,0.749718698313098,0.882419922246482,0.890791848080598,0.868962751362432
"27","Cherokee",13057091101,82.8,79.9,48.9,51.7,7.6,2.6,8.9,19.2,33.3,3.9,86.5,10.8,22.3,4.7,0.746013447410195,0.771627745359935,0.791545684025684,0.784985041437793
"28","Cherokee",13057091102,82.8,79.9,45.5,51.7,5.9,14.3,22.8,24.9,29.3,14,86.5,17.2,32,12.4,0.677079872144832,0.71216757440261,0.616170250878108,0.673646567823279
"29","Cherokee",13057091103,82.8,79.9,48.4,51.7,7.4,3.7,6,17.5,23.3,6.1,86.5,11.5,18.3,6.5,0.748594914707846,0.835095573926395,0.787717100749548,0.811642992610262
"30","Clayton",13063040202,48.9,51.1,26.2,12.5,14.1,2.8,49.7,54.6,54.7,22.3,67.3,20.9,36.6,18.7,0.194602190404625,0.362799844626084,0.374433735678457,0.273903994178091
"31","Clayton",13063040203,48.5,51.1,27.8,12.5,11.6,8,37.6,43.2,49.2,15,67.5,16,32.6,21,0.233116153077384,0.49353295011165,0.406918977966696,0.354491048673459
"32","Clayton",13063040204,48.5,51.1,27.9,12.5,12.4,43.8,37.7,51.5,44.9,12.6,67.5,11,32.1,16.3,0.0772751696229511,0.508196321213468,0.494625592042814,0.33893062435874
"33","Clayton",13063040302,47.9,55.5,31.5,10,11.2,15.6,41,55,47.8,46.6,56.7,22.2,47.5,19.7,0.211345622155306,0.251247968302306,0.230340489974846,0.180596079973958
"34","Clayton",13063040303,47.9,55.5,21.9,10,9.2,15.7,54.2,61.8,43.5,39.6,56.7,34.5,47.9,33.9,0.193771606599086,0.301802263684766,0.00171994892545796,0.114834288763265
"35","Clayton",13063040306,47.9,55.5,30.3,20.5,7.4,23.6,64.4,85.1,61,53.3,56.7,44.6,65.9,17.4,0.199943410674312,0.015771540978495,0.016848057187739,0
"36","Clayton",13063040307,47.9,55.5,26.7,23.1,11.1,26.9,33.1,53.2,53.8,32.8,56.7,35.1,35.2,16.1,0.192549299260893,0.305759154631555,0.237091601207566,0.199912115809253
"37","Clayton",13063040308,47.9,55.5,33.8,23,8.6,25.1,57.8,50.1,46.7,52.1,56.7,33.8,51.2,11.4,0.2009693378525,0.251783998916469,0.215420756210064,0.171980529630556
"38","Clayton",13063040407,55.2,61,33.7,26.9,7.6,13.6,16.3,37.9,37.7,28.5,63.1,26.7,29.9,7.4,0.416621879680155,0.507418224051714,0.457254049753042,0.440827652668085
"39","Clayton",13063040408,58.1,63.2,35.7,28.5,11.8,6.1,28.4,49.5,36.9,19.8,65.9,19.9,27.1,21.3,0.392650694381308,0.525763069727327,0.392842343694062,0.417578366415608
"40","Clayton",13063040409,60.6,65.1,34.2,27.1,13,15,26.1,37.6,39.5,19.3,68.5,14.3,31.8,12.2,0.345585010927365,0.556019068073288,0.521958494808353,0.460463780822759
"41","Clayton",13063040410,53.3,59.6,30.8,12.7,8.1,15.3,34.1,58.1,59.5,31.5,61.4,21.1,26.9,18.4,0.313694876992587,0.254841106459211,0.386083612523314,0.272429833995816
"42","Clayton",13063040411,60.6,65.1,38.7,17.1,10.2,3.8,16.2,32,34.4,12.9,68.5,8.1,20.9,10.2,0.450738675744148,0.65580274485446,0.642168012570009,0.581737075822063
"43","Clayton",13063040412,63.1,63.1,43.1,25.2,10.6,25.2,13.5,48.7,39.8,15.4,67.1,22.8,39.3,24.3,0.371453444445791,0.536963496373664,0.287218602906654,0.37754503048037
"44","Clayton",13063040413,60.6,65.1,36.7,25.6,10,9.2,51.1,54.6,45.8,26.7,68.5,15.5,24,21.4,0.368459250735652,0.397490208559503,0.456033590741913,0.376984443786997
"45","Clayton",13063040414,53.9,57.1,25.6,20.9,6.9,36.8,6.1,38.3,41,42.9,58.9,21.9,35.8,27.3,0.283098546367283,0.387946175993078,0.225975607096186,0.261930686248965
"46","Clayton",13063040415,63,52.6,22.5,17.1,10.6,25.9,39.2,58.1,54.2,32.8,55.2,29.4,56.5,15.3,0.212602645253611,0.284152861072784,0.169719545854918,0.173512413408034
"47","Clayton",13063040416,57.9,58.1,28.2,19.1,9,11.1,26.9,45.6,51.8,35.6,60.5,28.7,42.1,14.6,0.35568893334509,0.33076613156956,0.289128629243039,0.284676975620868
"48","Clayton",13063040417,66.6,60.4,36.6,12.3,10.6,8.9,64.1,69.9,59.4,23.8,64.9,23.2,41.1,20.4,0.306603882557133,0.260869314960979,0.301753286331326,0.242568581568147
"49","Clayton",13063040509,48.5,51.1,26.3,12.5,10.5,1.8,17.9,20.1,26.7,15.4,67.5,8.6,22,21.5,0.318744097520182,0.739918971658091,0.508040571269624,0.525015331031259
"50","Clayton",13063040510,53.3,51.6,23.6,15.8,13.9,15.2,19.7,40.3,47.7,20.3,64.2,20.2,33.6,14.5,0.218467057200469,0.480598840622441,0.418194317601489,0.347986719379744
"51","Clayton",13063040512,63.6,53.4,20.6,26.6,11.8,8.9,34.2,38.8,46.6,13.5,55.9,14.6,22.7,16.9,0.31254756042856,0.538761780543509,0.433488638915026,0.41033673430627
"52","Clayton",13063040513,65.1,55.4,22.6,25.8,10.1,13.5,7.5,23.6,34.1,14.6,57.9,7.9,23.9,16.7,0.386513508596328,0.678946091316963,0.490839011214979,0.515888758983631
"53","Clayton",13063040514,66.7,57.6,21.3,18.7,12.7,20.5,37.8,47.4,56.1,29.3,60.3,17.9,44,16.6,0.245409771739474,0.334477121153193,0.334927789108019,0.265024182108877
"54","Clayton",13063040515,68.4,58.6,29.3,17.7,10.1,9.8,26.3,37.1,42.3,12.3,61.3,13.9,30.9,22.4,0.385458358402925,0.583827066775052,0.375167594022576,0.433667926458282
"55","Clayton",13063040516,68.4,59.5,31.8,18.2,12.2,12,49.6,51,59.4,21.2,64.4,22.8,30.2,16.3,0.304010309629357,0.350236369905624,0.399014410255248,0.314532500788696
"56","Clayton",13063040518,72.3,61.1,34.8,16,15.9,20.6,62.4,55.5,49.7,16.4,63.4,17.8,46.9,24.8,0.200500898483821,0.433718659181263,0.255488234599718,0.263891514890083
"57","Clayton",13063040519,63,52.6,25.2,17.1,9.2,6.7,55,59.5,59.2,17.4,55.2,16.1,34.4,14.7,0.301443313019015,0.344043972674403,0.38247116323842,0.305120270892217
"58","Clayton",13063040520,51.4,51.4,25.3,13.1,12,33.6,39.9,50.6,54,13.2,65.6,14.9,31,17,0.102559227727433,0.442749738893929,0.452309781125788,0.304484414336852
"59","Clayton",13063040521,63,52.6,20.8,18.7,15.5,5.9,47.4,39.7,34.7,30.1,55.2,20.2,29.2,21.5,0.222187597521698,0.511457560484004,0.307818785126732,0.323152101259928
"60","Clayton",13063040522,63,52.6,22.4,21.7,11.4,1.4,30,61.7,53.7,24.4,55.2,18.3,35.2,26.6,0.35210711260226,0.329003756248361,0.237907109646994,0.264466880236486
"61","Clayton",13063040523,66.4,57.1,18.1,26.6,14.4,11.5,27.5,48.3,40.4,16,59.8,27.5,40.8,9.8,0.294598205363099,0.5302785340296,0.349995479162129,0.370870797205688
"62","Clayton",13063040524,65.4,55.9,27,20.5,9,27.1,34.7,37.7,36.9,17,58.4,16.5,29.2,13.8,0.278170890952681,0.589271213605329,0.43612661467865,0.421172410389356
"63","Clayton",13063040525,72.3,61.1,18.8,16,8.6,16.1,23.7,51.2,52.4,11.8,63.4,17.2,22.9,16.7,0.380940308287314,0.461051209357875,0.465127501907885,0.411653630289972
"64","Clayton",13063040526,71.9,60.9,18.8,16,11.9,10.6,52.2,54.4,44.7,15,63.2,10.1,37.2,15.2,0.297150957803521,0.48279557356832,0.458809387132309,0.390175848467952
"65","Clayton",13063040606,66.9,64.4,25.3,12.5,10,6.7,32.8,46.6,52.6,23.8,75.4,21.8,27.2,13.8,0.387037751894774,0.398572223367804,0.519662721831689,0.406427031138739
"66","Clayton",13063040608,66.9,64.4,39.4,12.3,12.6,13.6,15.9,20.3,38.1,7.7,75.4,7.1,17.5,15.2,0.377093296885941,0.70824761396219,0.659293022549285,0.585188807298918
"67","Clayton",13063040609,66.1,60.3,38.8,20.6,11.4,11,1.9,16.3,31.2,16.9,68.4,8.5,20,13,0.435323222920816,0.712506721552975,0.613802195742843,0.590638887708323
"68","Clayton",13063040611,64.4,57.3,34.3,14.3,9.1,22.3,52.6,62.4,42.7,34.5,65.8,31.6,46.6,21.7,0.265936422298102,0.338644895420337,0.206074105165964,0.227918030343361
"69","Clayton",13063040612,66.5,60.4,41.2,12.8,10.8,20.2,55.9,50.5,49.7,22,71.6,21.4,31.4,15,0.274452209220902,0.416146983889239,0.463941672677753,0.355772583866026
"70","Clayton",13063040613,65.2,60.2,39,22.7,9.9,6.9,30.7,30.3,49.2,12,73.7,11.3,19.1,17.6,0.419175406223992,0.562561407475619,0.584766821154769,0.510678856209894
"71","Clayton",13063040614,65.2,60.2,42.8,25.3,11,15.1,20.7,19.6,30.5,10.5,73.7,12.5,13.8,6.9,0.396248643571338,0.746824230756875,0.714897980965067,0.628005525566409
"72","Clayton",13063040615,66.6,60.4,47.3,25.3,11.3188,3.8,37.252,49.7,46.8,14.6,64.9,10,21.2,11.5,0.427883811580433,0.488412746307615,0.589751728516647,0.483708719658209
"73","Clayton",13063040616,66.4,60.6,30.9,25.6,12.1,17.1,34.5,35.4,43.8,13.4,65.1,11.8,31.2,12.8,0.323652337825682,0.572415185834521,0.514327339659201,0.457291324373928
"74","Clayton",13063040617,66.6,60.4,30.7,25.6,6.1,28.3,29.3,68.5,33.5,65.6,64.9,62.3,44.4,8.4,0.367703689366451,0.275596766608929,0.272890612589484,0.259392863051064
"75","Clayton",13063040619,72.3,61.1,35,16,11.4,5.7,43.3,44.9,52,19.9,63.4,22.1,20.1,12.4,0.382332615740388,0.434923266270642,0.489038897863037,0.409467400265005
"76","Clayton",13063040620,72.3,61.1,31.3,13.7,13.2,20.1,40.1,27.1,40.3,9.1,63.4,7.3,17.2,24.6,0.277919769311837,0.657345366425013,0.482058815805735,0.466552718704459
"77","Clayton",13063040621,66.9,64.4,27.1,12.3,12.9,11,26.4,26.6,34.9,13.9,75.4,15.6,22.8,10.9,0.338946618871333,0.666343468769843,0.616692616917438,0.539113331227691
"78","Clayton",13063040622,68.1,63.6,27.8,13.3,9.3,11.6,34,43.7,45.7,30.5,72.8,14.4,40.3,12.9,0.37838459395886,0.41500823921534,0.499478476768338,0.40332343626929
"79","Cobb",13067030101,86.7,84.4,70.7,51.2,7.1,10,19,22.1,33.8,6.8,85,17.7,19.5,6.6,0.769731940688035,0.737952970766938,0.726247997290803,0.755410633578449
"80","Cobb",13067030103,84.5,79.5,63.9,37.9,6.6,3.1,5.8,21.6,31.4,5.6,82.3,8.8,16.4,8,0.768768145769731,0.76486353113077,0.773360586047458,0.783364849455784
"81","Cobb",13067030104,82.9,76,46.0861,29.2,8.5,8.4,6.6,39.6,35,12.2,80.1,9.8,20.9,13.3,0.637734292445368,0.627024789440884,0.673598225524127,0.644285929907656
"82","Cobb",13067030106,82.9,76,44.9895,29.2,10.1,7.3,13.9,37.4,45,8,80.1,15.2,30,14.6,0.601855018471221,0.591590279353177,0.575506790493752,0.581992135790762
"83","Cobb",13067030107,82.9,76,64,34.8,9.8,1.9,1.3,9.6,30.2,3.7,80.1,8.6,13.9,7.7,0.710138490564731,0.831803828598545,0.776045558721549,0.792986676068765
"84","Cobb",13067030209,86.2,87.6,66.9,54.3,5.1,1.6,0.4,6.1,18.5,2.5,87,3,9.7,7,0.890709100096034,0.936580167435703,0.889990392595701,0.9398414198764
"85","Cobb",13067030214,86.1,84.3,63.1,56.1,7.7,3.4,6.9,16,27.1,5.3,85.3,6.4,16,10.5,0.812202042439525,0.818954008784071,0.7861001620819,0.825820293428932
"86","Cobb",13067030215,81.1,79.8,57.7,43.5,7.5,19.8,21.3,17.6,26.9,12.8,84.6,5.6,21.6,11,0.62872023542679,0.765099930736898,0.753915040829792,0.728861184258954
"87","Cobb",13067030218,86.9,83.6,66.8,54.8,9.1,2.8,0.6,13.7,22.5,3.0812,87.3,4.3,13.8,4.3,0.812102893326688,0.875134557648382,0.890348353333574,0.886928857526544
"88","Cobb",13067030219,88.8,86.1,70.5,53.8,8.2,3,5.6,11.6,28,2.9,86.6,2.4,5,7.1,0.835955172805883,0.845098094819363,0.914210507809313,0.89070043347727
"89","Cobb",13067030220,78.5,74.6,70.9,44.6,10.9,9.9293,20.2145,29.1,33.6,6.5,82.9,6.8,18.2,17.8,0.628356984613947,0.714559832588204,0.679912131185753,0.680775883389676
"90","Cobb",13067030222,78.5,74.6,66.7,44.6,5.7,11.4,14.7,20.5,32,3.6,82.9,6.9,13.1,7.3,0.701721925087328,0.777899052163363,0.814848033595395,0.780883860966636
"91","Cobb",13067030223,81.8,75.6,63.1,44.6,8.1,8.1,14.605,17,30.7,4.2,80.9,6.2,12.4,8.1,0.691111386159438,0.796639611619933,0.801876703235673,0.780667479809826
"92","Cobb",13067030224,82.9,76,56.5,42.1,6.5,6.4,2.7,18.2,31,1.7,80.1,4.1,10.3,7.6,0.735168688820149,0.806292376265604,0.827494327673533,0.808916372092726
"93","Cobb",13067030226,82.9,76,60.8,35.4,7.4,2.8,5.6,19.2,31,2,80.1,4,10.4,7,0.727345678510051,0.800499283592653,0.834000630469723,0.806091988656723
"94","Cobb",13067030227,82.9,76,56.6,43,5.7,16,11.3,20.1,35.9,9.4,80.1,8.8,31.6,13.8,0.683401320337155,0.713574380097949,0.621855828072572,0.678424716511949
"95","Cobb",13067030228,79,75,69.1,40.2,6,24.7,24.3,30.1,47,8.4,82.7,8.1,27.9,10.2,0.609226604010822,0.602627164439677,0.700253852627726,0.633636840172119
"96","Cobb",13067030229,82.9,76,56.5,44.5,6.7,34.5,22.1,14.1,38,13.8,80.1,7.3,21.1,16.9,0.55674859848733,0.692704580406632,0.652823354870056,0.637404605845543
"97","Cobb",13067030230,80,78.6,48.4,28.3,9.5,12.8,19.8,19.7,35,9.9,83.7,6.4,24.4,10.4,0.575898424940542,0.718252221115654,0.734499003730594,0.683929786632001
"98","Cobb",13067030231,87.4,84.3,64.1,42.4,7.3,1.7,2.2,9.7,19.4,3.2,87.6,2.7,4.1,6.5,0.812718677963782,0.911791343487425,0.929423841194293,0.916727331041396
"99","Cobb",13067030232,86.2,87.6,45.8,54.3,7.9,3.5,13.1,11,27.6,3.2,87,6.9,11.9,10.1,0.770634919788161,0.848283071190108,0.818430588989029,0.835721744040737
"100","Cobb",13067030233,86.2,87.6,53.2,54.3,5.9,1,2.9,6.6,22.2,5.0759,87,2.6,8.9,7.6,0.849117750147,0.8913715300183,0.890589400183465,0.906560714088023
"101","Cobb",13067030234,85.8,86.3,69.4,56.5,7.8,2.1,2.8,7,28.6,4.1,85.6,0.7,8.2,5,0.846198922735995,0.850552702278932,0.925819959254467,0.900654178529551
"102","Cobb",13067030235,86.2,87.5,70.8,54.1,4.6,3.0585,8.7,13.7,20.1,3.3,86.8,5.5,6.8,6.9,0.88044370498027,0.890832188361975,0.88631132213615,0.915472275222495
"103","Cobb",13067030236,96.2,89.7,77.9,53.5,7.4,2.9,2.6,3,28.5,4.7,91.3,0.7,3.5,4.3,0.909499368911392,0.862640748522566,0.99415454829425,0.951705098466426
"104","Cobb",13067030238,96.2,89.7,69.8,58.9,6.9,1,11.8,12.8,26.5,6.2,91.3,6.2,5.9,6,0.902905512875358,0.829583426196605,0.924768827431173,0.910618957051709
"105","Cobb",13067030239,96.2,89.7,76.6,58.4,7.8,0.8,7.1,7.7,27.9,5.1,91.3,5.6,9.3,6.2,0.912837629964712,0.84631622507864,0.909924495902668,0.9158711361354
"106","Cobb",13067030310,78.7,74.8,68.5,36.6,7.3,11.1,10.3,21.2,34.9,9.7,82.8,7.8,20.1,7.6,0.675947378565842,0.714536847757932,0.769456875296911,0.728850442668433
"107","Cobb",13067030311,79.4,75.7,75.7,37,8.7,1,6.6,8.9,18.3,4.5,83.1,4.3,13.3,7.3,0.734554806718733,0.914183903889261,0.833841220545287,0.857107210906765
"108","Cobb",13067030312,80.9,76.6,66.5,29.1,5.8,21,19.9,21,29.8,4.6,82.1,5.1,16.5,10.3,0.623188396529352,0.785135272608009,0.774025131982211,0.742705958832158
"109","Cobb",13067030313,80.8,76.6,66.3,26.8,7.6,14.3,-2.2703,10.5,27.6,4.5,82.1,4.5,12.4,9.9,0.670392448710542,0.841675553998086,0.803101533724205,0.793309241568563
"110","Cobb",13067030314,86.7,85.7,68.6,68.3,6.3,8.5,6.9,15.6,29.1,3.1,87.9,5.7,16.4,7.6,0.853454571386876,0.820628193515541,0.83658873171845,0.858557258781747
"111","Cobb",13067030318,87.2,85.1,81.6,62.1,9.6,5.1,2.9,10.2,32.3,-1.8932,90,1.8,5.3,7.2,0.841223828561045,0.851178274810166,0.938286182750232,0.90366634107633
"112","Cobb",13067030319,92.7,89.7,82.7,74.6,11.3,7.3,6.1,10.1,30.6,-1.2673,94.4,0.8,5.9,6.5,0.866059084572297,0.859593467564543,0.978680944308593,0.930102812052994
"113","Cobb",13067030320,75.3,75.2,66.2,35.9,11.4,1.9,16,9.8,33.1,2.7112,81.2,0.9,8.9,3.2,0.632069044777839,0.816818719503061,0.910857339501396,0.807996801251617
"114","Cobb",13067030322,91.5,93,73.3,67.6,6.2,3.7,1.3,10,22.9,5.8291,92.3,4.6,11.9,6.2,0.944674224065435,0.868426998957349,0.910629065000106,0.936416956470781
"115","Cobb",13067030324,78.5,74.6,78.9,36.1,7.9,21.9,9.1,8.7,23.2,3.7,82.9,6.1,16.3,7.8,0.63387204697472,0.885215526451541,0.79929970476126,0.798141714217898
"116","Cobb",13067030326,91.5,93,76.7,67.1,6.22,2.3,3.8,4.5,21.7,3.2586,92.3,1.9,12.4,4,0.951803528890531,0.914888330931237,0.950584105019559,0.972939149246504
"117","Cobb",13067030327,88,88.8,70.6,70.7,6,4.2,7.2,5.3,22.6,3.9137,92,1.6,14,5.6,0.905055957210296,0.901108662390319,0.925970893612101,0.942367045767719
"118","Cobb",13067030328,88,88.8,82.7,70.7,7.1,0.9,1.1,2.4,24.7,0.609,92,2.8,5,6.4,0.942108971888158,0.918876645998725,0.954119184686114,0.972602739606631
"119","Cobb",13067030329,88.4,86.3,74.7,72.7,6.5,13.5,12.5,7.2,18.5,5.7768,90.8,4.7,10.8,6.6,0.844212282059201,0.910892886594923,0.901390792901435,0.917084666407175
"120","Cobb",13067030330,90.3,89.2,79.9,74.9,6,2.2,5.3,6,29.7,1.3406,93.1,2.7,8.6,7.6,0.956714952000148,0.864613940418132,0.931416259476149,0.946286814222834
"121","Cobb",13067030331,88.6,88.9,82.4,73.1,11.2,4.9,1.6,6.8,25.9,-0.7044,92.3,1.9,5.7,3.6,0.867249360571723,0.902081847947101,0.988394353212407,0.952136691455819
"122","Cobb",13067030332,92.7,89.7,82.7,74.9,8.5,1.8,2.9,5.7,24,4.6762,94.4,4,5.6,6.6,0.942601145301083,0.884586614674706,0.956142393789811,0.958826429730571
"123","Cobb",13067030333,88.3,86,77.4,64.1,3.4,2.1,7.6,9.9,19.9,1.159,90.9,1.4,6.7,8.7,0.942300580590522,0.920834668377754,0.924320088472935,0.962895648437062
"124","Cobb",13067030334,92.7,89.7,81.8,74.6,11.3,8.2,8.7,3.7,28,1.5377,94.4,4.1,5,7.6,0.854318392212824,0.884258530509699,0.947951882383191,0.92571281410699
"125","Cobb",13067030335,89.4,89.1,89.4,72.4,5.7,1.4,3.2,6.8,22,1.5685,92.6,0.7,3.2,4.7,0.979439676261304,0.915023176335059,1,1
"126","Cobb",13067030336,91.8,89.5,88.1,74.7,6.9,3.8,4.8,8.7,27.6,2.4,93.8,3.1656,2,7.4,0.958863388319355,0.862328182260747,0.967877201417461,0.95902233681377
"127","Cobb",13067030337,92.7,89.7,82.1,74.6,6.1,3.2,3.2,6.4,26.2,-1.4109,94.4,1.5,5.1,4.5,0.968910956480291,0.906101844709468,0.998629476352754,0.992112150532264
"128","Cobb",13067030339,70.5,71.2,30.1,25.8,8.3,2.9,7.88,13.5,32.3,1.4,78,2.4,16.2,3.4,0.562661165689598,0.816964683390231,0.840349194059388,0.759324548937834
"129","Cobb",13067030340,91.5,93,73.1,67.5,6.2637,6.4,-0.0937,3.3,13.2,3.9588,92.3,2.3,6.7,7,0.9325670399013,0.975565920394048,0.944862230933044,0.990301516495799
"130","Cobb",13067030341,91.5,93,74.2,67.3,7,2.9,5.4,6.6,24.8,3.4504,92.3,1.2,9,7.2,0.92926874114686,0.883466505072046,0.939130211987516,0.947751176441274
"131","Cobb",13067030342,91.5,93,75.6,67.5,4.2,2.2,1.3,5.6,27.2,2.1232,92.3,2.1,9.7,4,0.986351056548501,0.878860646311706,0.962694147248701,0.973605691383052
"132","Cobb",13067030343,90,91.2,82,69.2,12.8,6,1.5,4.7,22.5,1.8182,92.1,2.4,6.8,3.2,0.842822816601587,0.917853537021871,0.982162207924686,0.948346225517896
"133","Cobb",13067030344,70.5,71.2,30.1,25.8,8.4,16.1,29.8,31.7,38.6,4.9,78,2.8,26.9,14.9,0.449392298844341,0.679406395862972,0.663239800929735,0.598875252013803
"134","Cobb",13067030345,70.5,71.2,30.1,25.8,11.6,22,48.4,44,36.4,15.1,78,11,27.1,8.8,0.333255066687347,0.581185502372802,0.667252833373271,0.518759008781804
"135","Cobb",13067030405,70.9,70.6,39.4,24.7,10.4,16.4,26.8,36.6,43.4,8.6,77.2,9.5,40.6,13.5,0.439563384328504,0.602140125256521,0.555777206536716,0.524224711887941
"136","Cobb",13067030407,70.5,71.2,54.1,25.8,6.8,2.6,4.9,16.5,24.7,6.5,78,4.7,10.3,6,0.640790274024862,0.826306970675059,0.826170167596071,0.784871696928492
"137","Cobb",13067030408,70.5,71.2,44.1,25.8,9.2,16.6,25.6,16.4,27.2,5,78,5.7,25.2,8.5,0.471792305327015,0.81867584949456,0.718017214116073,0.685563577853664
"138","Cobb",13067030409,82.8,81.5,72.4,50.7,8.9,2.4841,2.9,14.7,25.1,4.7204,86.6,3.6,5.6,5.9,0.790977696115731,0.842004235103015,0.915155552902812,0.874400569386572
"139","Cobb",13067030410,72,71.6,49.1,25.4,7.9,28.3,10.6,30.8,43,6.6,78.1,3.7,22.8,13.7,0.480365021290792,0.64029953318943,0.690579352815131,0.602430200679356
