"","county","weave_ct2010","ChildZ","FamilyZ","CommunityZ","CWB_Z"
"268","DeKalb",13089021705,0.0476505665310527,-0.309951852821227,0.277660154808306,0.00511962283937725
"269","DeKalb",13089021706,0.374191084988122,0.665963633632113,0.934524173172458,0.658226297264231
"270","DeKalb",13089021805,-0.317218419283781,0.00928406758288799,0.393507392150886,0.0285243468166645
"271","DeKalb",13089021806,-0.459993210006723,-1.05990011517905,-0.302786872841651,-0.607560066009142
"272","DeKalb",13089021808,0.252437529199456,0.4454581437003,0.805666844954064,0.501187505951273
"273","DeKalb",13089021809,0.284888732175969,1.17346199540045,0.748285207892607,0.735545311823007
"274","DeKalb",13089021810,0.127443751258436,0.897250265978829,0.631190984917932,0.551961667385066
"275","DeKalb",13089021812,0.0634567139007049,-0.0456284909808128,0.420575136583554,0.146134453167815
"276","DeKalb",13089021813,-0.427717649156856,-1.81233305789011,-0.912034801818769,-1.05069516962191
"277","DeKalb",13089021814,-0.588006353749818,-1.47335560150108,-0.444469526729935,-0.835277160660277
"278","DeKalb",13089021906,-0.909396085862669,-0.619203081854003,-0.619146476190452,-0.715915214635708
"279","DeKalb",13089021907,-0.411935304433371,0.362207561333351,0.109746091385989,0.0200061160953232
"280","DeKalb",13089021908,-0.996450509979784,-0.721126312305228,-0.497370872275169,-0.738315898186727
"281","DeKalb",13089021909,-1.01885953787449,-0.604395304488247,-0.670703001143544,-0.764652614502094
"282","DeKalb",13089021910,-0.691629291133529,-0.165856014836225,-0.0773714316464268,-0.311618912538727
"283","DeKalb",13089021911,-1.32478502796007,-1.79841025249788,-1.35739638451981,-1.49353055499259
"284","DeKalb",13089021912,0.00576666213346474,0.603788963883499,0.714622411655506,0.441392679224156
"285","DeKalb",13089021913,-0.821349444437536,-0.758198752137366,-0.576865953854689,-0.718804716809864
"286","DeKalb",13089022001,-0.468475920109331,0.39374755339473,0.121655179467103,0.0156422709175006
"287","DeKalb",13089022004,-0.920598145964866,-0.504412030310229,-0.781024094857682,-0.735344757044259
"288","DeKalb",13089022005,-0.878333147313297,-1.11817692874267,-0.80661155157133,-0.934373875875766
"289","DeKalb",13089022007,-1.0867545225349,-1.39270905654981,-1.82327021476888,-1.4342445979512
"290","DeKalb",13089022008,-1.05796823352388,-1.93612965407918,-1.4895282323895,-1.49454203999752
"291","DeKalb",13089022009,-0.872586782277814,-1.30603093068199,-0.820132406770521,-0.999583373243442
"292","DeKalb",13089022010,-1.09764379080152,-1.34702631698,-1.03977966030719,-1.16148325602957
"293","DeKalb",13089022100,-0.794499093591096,-0.542814575251019,-0.507551943081662,-0.614955203974592
"294","DeKalb",13089022203,-0.352613655721519,-0.25182893675212,0.250045030409271,-0.118132520688123
"295","DeKalb",13089022204,-0.0909777221132966,-0.569867407220205,-0.175940315771541,-0.278928481701681
"296","DeKalb",13089022301,0.602505848787597,0.561867816194969,0.591345947622863,0.585239870868476
"297","DeKalb",13089022302,0.340367547420979,0.296894469564317,0.322326356895421,0.319862791293572
"298","DeKalb",13089022401,0.276981911475259,0.741724413009876,0.865896487906137,0.628200937463757
"299","DeKalb",13089022402,-0.260262901797443,-0.401124360852392,0.642662213303598,-0.00624168311541246
"300","DeKalb",13089022403,0.623573941238829,1.11866614020683,0.946511226100338,0.896250435848667
"301","DeKalb",13089022500,0.751229227121022,0.466568035893961,0.868138235631937,0.695311832882307
"302","DeKalb",13089022600,1.10778176822738,0.743206608875457,1.06483494301347,0.971941106705434
"303","DeKalb",13089022700,1.16598356959728,0.555150051074344,0.745594965084802,0.822242861918808
"304","DeKalb",13089022800,1.17125977460516,0.674573424709638,0.608335820074726,0.818056339796508
"305","DeKalb",13089022900,-0.0700195657733095,0.247552403494826,0.236380485465688,0.137971107729068
"306","DeKalb",13089023000,0.115395034459879,0.760212717678641,0.254732219721083,0.376779990619868
"307","DeKalb",13089023101,-0.845177867273943,-0.46729456834093,-1.04680190424056,-0.78642477995181
"308","DeKalb",13089023102,-0.768722127468506,-0.367881681499781,-0.408036690923343,-0.514880166630543
"309","DeKalb",13089023107,-1.0943061044403,-1.17737079256296,-0.668452549402621,-0.980043148801958
"310","DeKalb",13089023108,-1.08891651363209,-1.05209489418014,-0.998008513220352,-1.04633997367753
"311","DeKalb",13089023111,-1.37222627304929,-0.14099518896265,-1.0139112087506,-0.842377556920846
"312","DeKalb",13089023112,-1.18455734064244,-1.28851320250457,-1.10556875583507,-1.19287976632736
"313","DeKalb",13089023113,-0.752367758694644,-1.25065096707731,-0.908273154699797,-0.970430626823917
"314","DeKalb",13089023114,-0.925262888578179,-0.329133036920207,-0.925359485508852,-0.726585137002413
"315","DeKalb",13089023115,-1.31029814096844,-1.49972175076127,-1.46021328742007,-1.42341105971659
"316","DeKalb",13089023204,-0.862017377933975,-0.10084570759281,-0.504856710022156,-0.489239931849647
"317","DeKalb",13089023206,-0.793017093323047,-0.393196618381998,-0.613017794627596,-0.599743835444214
"318","DeKalb",13089023208,-0.662949400699776,-0.467933675551105,-0.0520050324567458,-0.394296036235876
"319","DeKalb",13089023209,-0.307164363108598,0.414473893930228,-0.171574966270944,-0.0214218118164382
"320","DeKalb",13089023210,-0.680403957874051,-0.180891551584169,-0.174066003524187,-0.345120504327469
"321","DeKalb",13089023211,-0.841244761352695,0.335315844149917,-0.153470301853226,-0.219799739685335
"322","DeKalb",13089023212,-0.786074587528235,-0.126848831484484,-0.502622327802169,-0.471848582271629
"323","DeKalb",13089023213,-0.978671618200997,-0.655807306215947,-0.333752938099035,-0.656077287505326
"324","DeKalb",13089023214,-0.898933596871567,-0.139328675003875,-0.294993641554778,-0.444418637810073
"325","DeKalb",13089023303,-0.838652272520274,-0.866294768371677,-0.800276913206843,-0.835074651366265
"326","DeKalb",13089023306,-0.371456443992971,0.113088052891541,0.0351835094889475,-0.0743949605374943
"327","DeKalb",13089023309,-0.805328820356138,-0.445760890110164,-0.356696317424325,-0.535928675963542
"328","DeKalb",13089023310,-1.06070945295436,-0.930899308793583,-0.63350913297166,-0.875039298239869
